a,неопределенныйартикль
salts,Соли
salute,приветствовать/салют
salvage,спасать!
salvation,спасение
sam,Сэм
same,тотже/так(ой)же
sample,образец
sanction,санкция
sand,песок
sandwich,бутерброд
sandwiches,Бутерброды
sandy,песчаный
sang,пел/спел(отsing)
sanguine,живой/жизнерадостный/румяный(неspirited)
sank,тонул!
santos,Сантус
sap,сок(растений);подрывать
sat,сидел(отsit)
satisfaction,удовлетворение
satisfactorily,удовлетворительно
satisfactory,удовлетворительный
satisfy,удовлетворять
Saturday,суббота
sauce,соус/приправа/поливатьсоусом
saucepan,кастрюля
saucer,блюдце
sausage,колбаса/сосиска
savage,дикарь
savagely,свирепо/дикоs-
save,спасать/хранить/экономить
saved,спасал(отsave)
saving,экономия-ing
saviour,спаситель
savoury,вкусный/пикантный/приятный
saw,видел/смотрел(отsee)
say,сказать/говорить
saying,говорящий(отsay)
scaffold,эшафот
scale,масштаб
scan,Просмотр
scar,шрам/рубец
scarce,редкий/едва(неbarely/merely/hardly)
scarcely,едваsc-
scare,испуг
scared,напуганный!
scarf,шарф
scarlet,алый
scatter,разбрасывать/рассеивать
scattered,Разбросанный/раскиданный
scene,действие/картина/сцена
scenery,декорации
scenes,сцены/эпизоды(отscene)
scent,запах/духи/след/почуять/нюхать(неsmell)
schedule,расписание/таблица/планировать
scheme,проект
schemes,Схемы
scholar,ученый
scholars,Ученые
school,школа/обучать
schoolboy,школьник
schoolmaster,учитель
science,наука/умение
scientific,научный
scientist,ученый
scissors,ножницы
scold,бранить/ругать
scope,пределы
score,счет/отметка/выигрывать
scorn,презрение/презирать
scornful,презрительный
scotch,надрез/метка/уничтожать
scoundrel,негодяй
scout,разведчик
scowled,Хмурился(неотсловаfrown)
scramble,карабкаться
scrambled,Боролся(взбирался)
scrap,клочок/кусочек/отрывок
scratch,царапать
scratched,Поцарапанный
scream,вскрикнуть/зареветь/визг/вопль(неshriek)
screen,экран/перегородка/прикрывать
screw,привинчивать/завинчивать/принуждать/винт
scribble,каракули/писатьнеразборчиво
script,сценарий
scripts,Подлинники(сценарии)
scrub,тереть
scuba,Акваланг
scuffle,драка/потасовка
sculpture,скульптура
sea,море/океан
seal,печать/запечатывать
seam,шов
seaman,моряк*e-
search,искать/обыскивать/поиск/обыск
seasick,страдающийморскойболезнью
seaside,морскоепобережье
season,времягода/сезон/созревать
seat,место/сиденье/сажать/усаживать
seated,Помещенный
seats,места(отseat)
seaweed,Морскаяводоросль
second,второй/помощник/секунда
secondary,средний/второстепенный
secondly,Во-вторых
secret,секрет
secretary,секретарь
secretion,Укрывательство
section,отделение/делитьначастиs-
secure,страховатьs-
security,безопасность
sedate,спокойный
see,(у)видеть/встретиться
seed,семя/семена
seedling,Рассада
seedlings,Рассада
seeds,Семена
seeing,видящий(отsee)
seek,искать(неfind)
seem,казаться
seeming,видимый/мнимый(неvisible)
seen,увиденный(отsee)
segment,Доля(неportion/section)
seize,хватать-e
seized,захваченный!
seldom,редко
select,выбирать/сортировать/избранный
selected,Отобранный
selection,отбор
self,сам/себя
selfish,эгоистичный
sell,продавать/торговать
seller,торговец(неtrader)
selling,продажа
semi,Полу
semicolon,точкасзапятой
send,отправлять/посылать
senior,старшийs-
sensation,чувствоs-
sense,чувство/здравыйсмысл/чувствовать
senses,Чувства
sensible,разумный
sensitive,чувствительный
sensitiveness,Чувствительность
sent,отправил/послал/отправленный/посланный(отsend)
sentence,предложениеs-
sentiment,настроение
sentiments,Чувства
separate,отдельный
separated,Отделенный
separation,отделение/разделение
September,сентябрь
sequel,продолжение/результат
sequence,последовательность
sergeant,сержант
series,серия
serious,серьезный
seriously,серьезно
sermon,проповедь
serpent,змея/змей
servant,слуга
serve,служить/обслуживать/подавать
server,Прислуга
servers,Прислуга
service,сервис/обслуживание
services,Услуги
serving,порцияs-ing
session,заседание(неsitting)
set,класть/ставить/помещать/комплект
sets,декорации(отset)
setting,окружение-ing
settle,поселять/устраивать/оплачивать
settlement,поселение
seven,семь
seventeen,семнадцать
seventh,седьмой
seventy,семьдесят
several,несколько
severe,суровый/жестокий(s-)
severely,строго(*e-)
sew,шить
sex,пол
sexual,сексуальный
shabby,потрепанный/поношенный
shade,оттенок/тень/затенять
shades,оттенки(отshade)
shadow,тень/покров/заслонять
shady,тенистый/сомнительный/темный
shaft,древко/ручка/рукоятка/вал(тех.)
shaggy,лохматый
shake,пожать(руки)/дрожать/трясти
shall,модальныйглаголдолженствования
shallow,мелкий/поверхностный/(от)мель
sham,притворство/обман
shame,стыд/стыдить/стыдиться
shape,форма
shaped,Форменный
shapeless,бесформенный
share,разделять/доля/часть
shark,акула
sharp,точно/ровно/резкий/крутой/плутовать
sharpen,точить
sharply,резко
shave,(по)бриться/бритье/подстригать
shaving,бритье(-ing)
shawl,платок/шаль
she,она
shed,сарай
sheep,овца/овцы
sheer,настоящий
sheet,простыня/лист/пласт
shelf,полка
shell,раковина/скорлупа
shells,Снаряды(раковины)
shelter,приют/убежище
shelves,Полки
shepherd,пастух
sheriff,Шериф
shield,щит
shift,смена/перемещать
shilling,шиллинг
shindy,шум/скандал
shine,сиять/светить
shiny,Солнечный(неsunny)
ship,корабль/пароход/грузить/перевозить
shipwreck,кораблекрушение
shirt,рубашка/блузка
shiver,дрожать/дрожь/трепетs-
shock,ударs-
shocking,потрясающий
shoe,ботинок/туфля
shoemaker,сапожник
shoes,обувь/туфли(отshoe)
shone,сиял/блестел!
shook,трёс!
shoot,стрелять/застрелить
shooting,Стрельба
shop,магазин/мастерская
shopping,делатьпокупки
shops,магазины(отshop)
shore,берег
short,короткий/слабый/внезапно
shorter,короче(отshort)
shortest,ближайший/самыйкороткий(отshort)
shorthand,стенография
shortly,вскоре
shorts,трусики
shot,попытка/выстрел
should,следует(отshall)
shoulder,плечо/толкать
shout,кричать/крик
shove,толкать(ся)/пихать/толчок
shoved,Пихал(неpopped)
shovel,лопата
show,показывать/демонстрировать/выставка/зрелище
showed,показал(отshow)
shower,душ/ливень
shown,Показанным
shrewd,проницательный/ловкий(делец)
shriek,кричать/вскрикнуть/пронзительныйкрик(неscream)
shrill,резкий/пронзительный
shrimp,креветка
shrine,сохранять
shrink,отпрянуть/садиться(оматерии)
shrub,куст
shrubs,кусты(неbushes)!
shrug,пожиматьплечами
shrugged,Пожал
shudder,дрожь/вздрагивать;содрогаться
shuffle,шаркать
shut,закрывать/запирать/замолчать
shutdown,Закрытие
shutter,ставень/затвор
shy,застенчивый/робкий
sibilant,шипящийзвук
sick,больной
sickly,болезненный/нездоровый/тошнотворный
sickness,болезнь/заболевание
side,сторона/бок/край
sidenote,Заметканаполях
sideways,боком/косвенно
sierra,горнаяцепь
sieve,решето/сито
sigh,вздыхать/вздох
sight,зрелище/вид/заметить/разглядеть
sights,достопримечательности
sign,подписывать(ся)/знак/вывеска
signal,сигнал/сигнализировать
signature,подпись
signed,Подписанный
significance,значение
significant,значительныйs-
significantly,значительно
signify,значить/означать/иметьзначение
signs,знаки/вывески(отsign)
silas,Силас
silence,молчание/тишина
silent,молчаливый/бесшумный
silk,шелковый/шелк
sill,подоконник
silly,глупый
silver,серебро/серебряный
similar,похожий
similarly,также
simple,простой/однозначный
simplicity,Простота(-t*)
simply,просто/абсолютно
simulator,симулянт
simultaneous,одновременный
simultaneously,одновременно
sin,грех/(со)грешить
since,стехпоркак
sincere,искренний(-e)
sincerely,Искренне(неearnestly)
sing,пение/петь
singing,Пение
single,один/одинокийs-
singular,странный/необычный/единственноечисло(грам.)
sinister,зловещийs-
sink,тонуть
sinking,погружение
sir,сэр
sire,Родитель
sister,сестра
sit,сидеть/заседать/годиться
site,местоположение
sitting,заседание
situated,расположенный
situation,положение
six,шесть
sixpence,суммав6пенсов
sixteen,шестнадцать
sixth,шестой
sixty,шестьдесят
size,размер/величина/измерить
skeleton,скелет/остов
sketch,эскиз
ski,ходитьналыжах
skiing,катаниеналыжах
skilful,квалифицированный/умелый/ловкий
skill,мастерство
skilled,квалифицированный/умелый/ловкий
skim,просматривать/скользить
skin,кожа
skinner,погонщик!
skinny,худой/тощий/кожадакости!
skins,Кожи
skip,пропускать(частобываетприустано!
skirt,юбка
skull,череп
sky,небо
slab,плита
slack,ленивый/слабый/ослаблять/утихать
slacken,ослаблять/ослабевать
slam,хлопать/хлопнуть-m
slammed,Хлопнул
slang,жаргон
slant,наклонный
slap,хлопать
slaughter,резня/убой/резать/убивать
slave,раб
slaves,рабы!
sledge,ехатьнасанях
sleek,гладкий/приглаживать
sleep,спать/сон
sleepy,сонный/сонливый(неasleep)
sleeve,рукав
sleigh,сани/салазки
slender,тонкий/стройный
slept,спал(отsleep)
slice,ломоть
slid,скользить(неslip)!
slide,скользить
slight,проявлениепренебрежительногоравнодушия;неуважение/пренебрежение/игнорирование
slightest,малейший(отslight)
slightly,слегка
slim,стройный
slime,слизь/липкаягрязь/ил;комбинация(белье)
slip,скольжение/скользить-p
slippery,скользкий
slogan,лозунг
slope,склон/наклон/горадлякатания
slow,медленный/замедлять
slower,медленнее(отslow)
slowly,медленно
slumber,сон/дремота/дремать
sly,хитрый
smack,рыболовноесудно
small,маленький/тонкий/скромный
smallest,Самыймаленький
smart,изящный(неgrace)
smartly,ловко
smash,бить/разбивать
smashed,Разбитый
smear,масляноепятно/пачкать/мазать
smell,запах
smelt,плавить
smile,улыбаться/улыбка
smiles,Улыбки
smoke,курить/курение/дым
smoked,курил(отsmoke)
smoker,курящий/вагондлякурящих
smoking,курение
smooth,гладкий
smoothly,гладко!
snack,закуска/часть/доля
snake,змея
snap,щелкать(snap)
snapped,Сфотографированный
snare,ловушка
snarl,рычать/огрызаться;рычание/ворчание
snatch,схватить
sneer,усмешка/насмешка;насмехаться/издеваться
sneeze,чихать/чиханье
sniff,фыркать/сопеть
sniffed,Фыркал
sniffing,Фыркающий
snigger,хихикать/хихиканьеs-
snoop,подсматривать!
snore,храпеть/храп
snorted,Фыркал(неотсловаsniff)
snow,снег/падать(оснеге)
snowman,снежнаябаба
snuff,Нюхнуть
so,так/такимобразом/итак
soap,мыло
sob,рыдание
sobbing,Рыдание
sober,трезвый
sociable,общительный
social,общественный
society,общество
sock,носок
socket,патрон(эл.лампочки)/глазнаявпадина
socks,носки(отsock)
sofa,диван
soft,мягкий/тихий(неcalm)
soften,смягчать(ся)
softened,Смягченный
softly,мягко/нежно
software,Программноеобеспечение
soil,почва
sold,продавал/проданный(отsell)
solder,паять
soldier,солдат
sole,подошва/подметка;ставитьподметку
solely,Исключительно
solemn,серьезный/торжественный
solemnly,торжественно
solid,твердый
solitary,одинокий/уединенный
solitude,одиночество/уединение
solution,решение/разрешение
solve,(раз)решать
some,немного/несколько
somehow,как-нибудь/такилииначе!
sometimes,иногда
somewhat,что-то/отчасти!
somewhere,где-нибудь!
son,сын
song,песня
sons,сыновья(отson)
soon,скоро/рано
sooner,охотнее(отsoon)
soot,сажа
soothe,успокаивать/утешать/облегчать(боль)
soothing,Успокаивающий-ing
sophia,София
sophisticated,сложный
sore,больной/воспаленный(неsick)
sorrow,печаль
sorrowful,печальный/скорбный
sorry,сожалеющий/печальный/унылый
sort,сорт/род/вид/сортировать
sorting,Сортировка
sought,Искавший(разысканный)
soul,душа/воплощение
souls,Души
sound,звук/звучать/играть
sounding,звучащий
sounds,звучит(отsound)
soup,суп
sour,раздражительный/сердитый/кислый
source,источник
South,юг
southern,южный
souvenir,сувенир
souvenirs,сувениры(отsouvenir)
sovereign,суверенный
soviet,Советский
sow,сеять
space,пространство/место/космос
spacious,просторный/обширный
spade,лопата/заступ
spare,уделять/лишний/запасный
spared,Сэкономленный
spark,искра
sparkle,сверкать/искриться
sparkler,Бриллиант
sparrow,воробей
spasmodic,судорожный
spat,размолвка/звонкийудар
speak,говорить/убеждать
speaker,оратор
speaking,говоря(щий)(отspeak)
speaks,Говорит
spear,дротик/копье
special,специальный/особенный
specialist,специалист
speciality,фирменноеблюдо
specialize,специализировать
specially,особенно
species,порода
specific,специфический
specifically,специфически
specification,Спецификация
specified,Указанный
specify,точноопределять/устанавливать/предписывать;детальноизлагать
specimen,образец
specimens,Экземпляры/образцы
spectacle,зрелище
spectacles,очки
spectacular,производящийглубокоевпечатление;впечатляющий;эффектный
speculation,размышление
speech,речь
speechless,безмолвный
speed,скорость/ускорять/спешить
speedily,быстро
speedometer,спидометр
speedy,быстрый/скорый
spell,писатьилипроизносить(слово)побуквам
spelling,орфография/правописание
spend,тратить
spends,проводит(время)(отspend)
spent,проводил/тратил/проведенный/потраченный(отspend)
sphere,сфера
spider,паук
spiders,Пауки
spike,острие!
spill,проливать(ся)/рассыпать(ся)
spin,прясть/крутить(ся)
spine,позвоночныйстолб
spirit,дух
spirited,живой/бойкий
spirits,души!
spit,плеваться/фыркать
spite,злость
spiteful,злобный
splash,брызгать(ся)/забрызгать/плескать(ся);плеск/брызги
splendid,замечательно
splinter,щепка/осколок/заноза
split,раскалывать
spoil,портить/баловать
spoke,говорил/говоривший(отspeak)
spoken,сказанный!
sponsorship,попечительство
spoon,ложка
spoons,ложки(отspoon)
sport,спорт/заниматьсяспортом
sporting,спортивный(-ing)
sports,спорт/спортивныесоревнования(отsport)
sportsman,спортсмен
spot,пятно
spotless,безупречный
spots,Пятна(места)
spotted,Определенный*p-
spout,носик(посуды)/желоб
sprang,Прыгал(отсловаspring)
spray,брызги/обрызгивать
spread,распространяться
spreading,Распространение-ing
spree,веселье/шалость*p-
spring,весна
sprout,пускатьростки;отросток/побег
spruce,Ель
sprung,Прыгал(отсловаspring)
spur,стимул
spurt,битьструей/делатьвнезапноеусилие
spy,шпион/шпионить
squad,команда
squadron,эскадрон/эскадра(мор.)
squall,писк/визг
square,площадь/квадратный
squeal,Визг-a*
squeeze,выжимать/сжимать/давить/впихивать/сжатие/давка
squeezed,Сжатый
squint,косоглазие/косить(оглазах)
squirrel,белка
st,C-
stability,устойчивость
stable,конюшня
stack,стог/куча/груда
stadium,стадион
staff,штат/персонал/штаб
stage,сцена/эстрада/ставить
stagger,шатание/шатать
staggered,Пораженный*t-
stain,пятно/пятнать/пачкать
stair,лестница
staircase,лестница
stake,ставка/делатьставку
stale,черствый/затхлый
stalk,стебель
stall,партер
stalls,креславпартере(отstall)
stammer,заикаться/запинаться
stamp,марка/печать/штемпелевать
stamps,марки(отstamp)
stand,остановка/позиция/стенд/киоск/стоять/останавливаться
standard,стандарт
standing,репутация/вес/положениевобществе/стоящий(-ing)
standstill,застой(неstagnation)
star,звезда
stare,пристальныйвзгляд
stared,пристальный!
starling,скворец
start,начинать/отправлятьсяs-
starter,стартер
startle,испугать/сильноудивить
starts,Запуски
starve,умиратьотголода
state,государство/состояние
stated,зафиксированный/высказанный/изложенныйЗаявленный
stately,величавый/величественный
statement,утверждение/заявление
statements,Утверждения(заявления)
states,Государства
statesman,государственныйдеятель
station,станция/место/размещать
stationery,писчебумажныепринадлежности
statistics,статистика
statue,статуя/памятник
stature,рост*t-
status,статус
statute,закон/устав
stay,оставаться/жить(временно)
stayed,остался(отstay)
staying,остающийся/живущий(отstay)
steadily,неуклонно
steady,прочный
steak,бифштекс
steal,(с)воровать
stealing,Кража
steam,пар
steel,сталь
steep,крутой(неsharp)
steer,править(рулём)
stem,стержень
stems,Стебли
step,шаг/шагать(step)
stepfather,отчим
stephen,Стивен
sterile,бесплодный!
sterility,Бесплодие
stern,строгий
sternly,строго!
steve,Стив
stew,тушеноемясо
stick,палка/приставать
sticking,торчащий/приклеенный(-ing)!
sticks,Палки
sticky,липкий/клейкий
stiff,негнущийся/застывший/холодный/натянутый
stiffen,(о)коченеть/(о)деревенеть
still,всееще/однако/тихий
stir,суета/суматоха/мешать/помешивать/волновать
stitch,стежок/петля(ввязании)/шить
stock,запас/снабжать(неspare/hoard)
stocking,чулок
stockings,чулки(отstocking)
stocks,Акции(запасы)
stocky,коренастый/низкий/приземистый!
stolen,украденный(отsteal)
stomach,живот/желудок
stone,камень
stool,табуретка
stoop,наклонять(ся)/нагибать(ся)/сутулиться/горбиться
stooped,Наклоненный
stop,остановка/перестать/остановиться
stoppage,остановка/задержка
stopped,остановились(отstop)
stopper,пробка/затычка
stops,остановки(отstop)
storage,хранение*t-
store,магазин/имущество/запасать/снабжать
stored,Запасенный
storey,этаж
stories,истории/рассказы(отstory)
stork,аист
storm,буря/взрыв(неblast)
stormy,бурный
story,рассказ/история
stout,тучный/дородный
stove,печь/плита
straight,прямо/сразу/прямой/достоверныйs-
straighten,выпрямлять(ся)
straightened,Выправляемый
straightforward,прямой
strain,натягивать/напрягать(ся)/напряжение
strait,узкий/пролив/затруднительноематериальноеположение/нужда
strange,странный
strangely,страннымобразом
stranger,незнакомец/иностранец
strangers,Незнакомцы
strangle,задушить
strap,ремень/стягиватьремнем
strategy,стратегия
straw,пустяк/мелочь
strawberries,клубника
strawberry,земляника
stray,сбиватьсяспути/заблудившийся
stream,ручей/поток
street,улица
strength,численность/сила/прочность
strengthen,усиливать/укреплять
stretch,растягивать/вытягиваться
stretched,растянутый!
stretching,Протяжение
strict,точный
strictly,строго*t-
strike,ударять/забастовка
striking,бьющий/ударяющий(отstrike)
string,вереница/ряд/струна/связывать
strings,Вереницы(нити)(неthreads)
strip,полоса
striped,полосатый
stripes,Полосы
strode,походка/большойшаг(прошедшеевремя)!
stroke,удар/гладить*t
stroll,прогулка/гулять
strong,сильный
strongest,Самыйсильный
stronghold,крепость/оплот
strongly,решительно(перваябукваНЕ"d")
struck,забастовка/удар(прошедшеевремя)!
structure,структура
struggle,бороться/борьба
struggling,Борьба
stubborn,упрямый
stuck,воткнул/приклеил!
stud,запонка
student,студент
students,студенты(отstudent)
studied,учился(отstudy)
studio,студия
studious,прилежныйs-
study,учиться/изучать/заниматься/исследование/кабинет
studying,занимается(отstudy)
stuff,вещество/материал/заполнять/набивать
stuffed,Наполненный
stuffy,душный
stumbled,Наткнулся
stump,пень
stun,оглушать
stupid,глупый
style,стиль/фасон/прическа
subdued,подавленный
subject,предмет/содержание/подчинять
subjected,Подвергнутый*u-
subjects,предметы(отsubject)
submarine,подводнаялодка
submit,подчиняться
subqueries,Подвопросы
subquery,Подвопрос
subscribe,подписываться
subscriber,подписчик
subscription,подписка
subsequent,последующий(неsuccessive)
subsequently,впоследствии
subsided,Спадал
substance,вещество
substantial,существенный/заметный/прочный/крепкий
substitute,заместитель
subtle,тонкий/неуловимый
suburb,пригород/окраина
succeed,достигатьцели
succeeding,Следование-ing
success,успех/удача
successes,успехи(отsuccess)
successful,удачный/успешный
successfully,успешно
succession,последовательность
successive,последующий
successor,преемник
such,такой
suck,сосать
sudden,внезапный
suddenly,внезапно/вдруг
sue,преследоватьсудебнымпорядком/возбуждатьделовсуде
suffer,страдать
suffering,страдание
sufficient,достаточный
sufficiently,достаточно
suffix,суффикс(грам.)
suffocate,душить/задыхаться
sugar,сахар
suggest,предлагать/советовать
suggested,предлагал/предложенный(отsuggest)
suggestion,предложение
suggestions,предложения(отsuggestion)
suicide,самоубийство/самоубийца
suit,костюм/подходить/устраивать
suitable,подходящий/соответствующий(неeligible)
suitcase,чемодан
suitcases,чемоданы(отsuitcase)
suite,номерлюкс
suited,Удовлетворенный
sulky,мрачный/хмурый**l**
sulphur,сера
sultry,знойный/душный
sum,сумма/подводитьитог
summary,конспект/суммарный
summer,лето/летний
summit,вершина
summon,вызывать
summoned,Вызванный
sun,солнце
Sunday,воскресенье
sunflower,подсолнух
sunk,Погруженным
sunlight,солнечныйсвет
sunny,солнечный
sunrise,восходсолнца
sunset,закат
sunshine,солнечныйсвет
sunstroke,солнечныйудар
superb,превосходный(неpretty)
superficial,поверхностный/внешний
superfluous,излишний/чрезмерный
superintend,надзирать(за)
superintendent,управляющий/заведующий
superior,высший/лучший
superiority,старшинство
superlative,превосходнаястепень(грам.)
supermarket,супермаркет
superserver,Суперприслуга
superstition,суеверие/предрассудки
supper,ужин
supplement,добавление
supplied,Снабженный
supplies,Запасы(поставки)
supply,снабжать
support,поддерживать/опора/поддержка
supported,Поддержанный
supporter,сторонник
supporting,опорный-ing
suppose,полагать/предполагать
supposed,предполагаемый(отsuppose)
supposedly,предположительно
suppress,подавлять
suppressed,Подавленный
supreme,верховный/высший
sure,уверенный/убедиться/безусловно
surely,несомненно
surface,поверхность
surfaces,Поверхности
surgeon,хирург
surgery,хирургия/приемнаяхирурга
surly,угрюмый/неприветливый**r**
surname,фамилия
surplus,излишек
surprise,удивление/удивлять
surprising,удивительный
surprisingly,удивительно
surround,окружать
surrounding,Окружение
surroundings,окрестности/среда/окружение
survey,осмотр
surveyed,Рассмотренный
surveying,Рассмотрение-ing
survive,пережить
susan,Сьюзен
suspect,подозревать
suspected,Подозреваемый
suspend,приостанавливать
suspended,приостановленный!
suspense,неизвестность
suspension,приостановка/пауза/перерыв
suspicion,подозрение
suspicions,Подозрения
suspicious,подозрительный
sustain,поддерживать(*u-)
swallow,глотать/проглатывать
swam,плавал(отswim)
swamp,болото/топьs-
swan,лебедь
swarm,рой/толпа;роиться/толпиться(неcrowd)
sway,качание/взмах
swear,клясться
sweat,пот/потеть
sweater,эксплуататор
sweep,(под)местиs-
sweet,милый/сладкий/приятныйs-
sweetheart,возлюбленный(ая)/дорогой(ая)(какобращение)
sweetness,Сладость
swell,отличный/превосходный
swelling,воспаление/отек-ing
swept,подметал!
swift,быстрый(неspeed)
swiftly,быстро!
swig,потягиватьвино
swim,плавать
swimmer,пловец
swimming,плавание
swindle,обман/обманывать/надувать(неdeceive)
swing,качание/качели/качаться/колебаться
switch,переключать/включать/выключатель/выключать
sword,меч/шпага/сабля
syllable,слог
symbol,символ
sympathetic,сочувственный
sympathize,сочувствовать
sympathy,симпатия/сострадание
syntax,Синтаксис
syringe,шприц
system,система
systems,Системы
tab,петелька
table,стол/таблица/расписание
tables,Столы
tablets,таблетки(отtablet)
tack,линия/курс(t-)
tackle,хватать*a-
tactics,тактика
tag,бирка/ярлык
tail,конец/хвост
take,брать/взять/принимать
taking,овладение
tale,повесть/сказка/история
talent,талант
talented,талантливый
tales,сказки/истории(отtale)
talk,говорить/беседовать
talking,беседа
tall,невероятный/высокий
tally,бирка/этикетка/дубликат/копия(неlabel)
tame,приручать/приручить/прирученный
tangerine,мандарин(плод)
tangible,осязаемый
tangle,сплетение/путаница/запутывать(ся)
tank,танк/резервуар
tap,постучать
tape,лента/обматыватьлентой
tar,смола/деготь;мазатьдегтем/смолить
target,задание
task,задача
taste,пробовать/иметьвкус
tasted,пробовал(отtaste)
tastes,имеетвкус(отtaste)
taught,обучал/обученный(отteach)
tax,налог
taxi,такси
tea,чай/отвар
teach,обучать/преподавать
teacher,учитель
teaching,обучение
team,команда
teams,команды(отteam)
tear,слеза/разрыв/(по)рвать
tearing,Разрывание-ing
tears,слёзы!
tease,дразнить/задира
technical,технический
technician,специалистt-
technique,техника
ted,раскидывать
teddy,Тэдди
tedious,скучный/утомительный**d****
teenagers,подростки(отteenager)
teeth,зубы
telegram,телеграмма
telegraph,телеграф
telephone,телефон/звонитьпотелефону
telescope,телескоп
television,телевидение
tell,говорить/рассказывать
tells,Сообщает
temper,сдержанность/самообладание
temperature,температура
temple,храм
temporarily,временно
temporary,временный
tempt,искушать
temptation,искушение/соблазн
tempted,Соблазненный
ten,десять
tenant,арендатор/жилец
tend,иметьтенденцию
tendency,тенденция
tender,нежныйt-
tenderly,нежно/мягко!
tenderness,нежность!
tennis,теннис
tense,время(грам.)
tent,палатка
tentacles,Щупальца
tentative,предварительный/предполагаемый;умозрительный/невполнеопределенный
tenth,десятый
term,семестр/срок
terminal,конечныйпункт
terminate,кончать(ся)
terminus,Конечнаяостановка
terms,личныеотношения/условиясоглашения
terrace,терраса
terrible,ужасный/страшный
terribly,ужасноt-
terrific,потрясающий/ужасающий
terrified,Испуганный
territory,территория
terror,ужасt-
test,анализ/проверка/испытывать
testing,испытание
text,текст
textbook,учебник
than,чем
thank,благодарить
thankful,благодарный
thanks,спасибо
that,это/тот/та/то
thaw,оттепель
the,определенныйартикль
theatre,театр
theatres,театры(отtheatre)
thee,Вас
theft,кражаt-
their,их(навопрос"чей?")
them,их(навопрос"кого?"/"что?")
theme,тема(неtopic)
themselves,себя/себе
then,тогда/потом/затем
thence,Отсюда
theory,теория
there,там/туда/вот
thereafter,послеэтого;впоследствии(неafterwards)!
thereby,такимобразомt-
therefore,поэтому/следовательно
thereupon,послечего/начто
these,эти/это
they,они
thick,толстый/густой
thicket,Чаща
thief,вор
thimble,наперсток/наконечник
thin,тонкий/худощавый
thing,вещь/предмет
things,вещи/дела(отthing)
think,думать/мыслить
thinking,размышление
thinks,думает(отthink)
third,третий
thirst,жажда
thirsty,испытывающийжажду
thirteen,тринадцать
thirteenth,тринадцатый
thirty,тридцать
this,этот/это
thomas,Томас
thong,ремень/плеть
thorn,шип/колючка(неprick)
thorny,колючий/тернистый****n*
thorough,тщательный
thoroughfare,проход/проезд
thoroughly,тщательно
thorpe,Торп
those,тот/та/то/те
thou,Вы
though,хотя/несмотряна
thought,думал/обдуманный(отthink)/мысль
thoughtful,задумчивый/погруженныйвразмышления
thoughtfully,внимательно!
thoughtless,необдуманный/беспечный/эгоистичный
thousand,тысяча
thrash,молотить/бить
thread,нитка
threat,угроза
threaten,грозить/угрожать
threatened,находящийсявугрожаемомположении!
threatening,Угроза-ing
three,три
threshold,порог
threw,бросал(неflung)!
thrice,трижды
thrill,волновать
thrilled,возбуждённый!
thrilling,захватывающий-ing
thrive,преуспевать;буйно/пышнорасти
throat,горло
throb,пульсация/пульсировать
throbbing,пульсация/биение
throne,трон
throng,толпиться/переполнять
through,через/сквозь
throughout,повсюду/везде/вовсехотношениях(неeverywhere)
throw,бросать
thrust,толчок/удар/толкать
thumb,большойпалец(руки)
thunder,гром/греметь
Thursday,четверг
thus,так/такимобразом
thy,Ваш
ticket,билет
tickets,билеты(отticket)
tickle,щекотать
tide,приливиотлив
tidy,чистый/аккуратный/убирать/приводитьвпорядок
tidying,уборка
tie,связь/связывать/галстук
tied,связанный!
ties,связи(отtie)
tiger,тигр
tight,плотный/крепкий/тугой
tighten,сжимать(неsqueeze)
tile,черепица/кафель
till,до
tim,Тим
timber,бревно
time,время
timeout,Перерыв
times,раз(отtime)
timetable,расписание
timid,робкий/застенчивый
tin,олово/жестянка/консервнаябанка
tinker,Ремесленник
tinkle,звон/звяканье
tiny,крошечный
tip,чаевые/даватьна"чай"/наконечник
tips,Наконечники(чаевые)
tiptoe,кончикипальцев/цыпочки
tire,уставать/надоесть
tired,усталый(отtire)
tiresome,утомительный
tiring,утомительныйt-
title,заглавие/титул
to,предлог/частицаинфинитива
toad,жаба
toast,тост(жар.хлеб)/сушить
tobacco,табак
today,сегодня/теперь/современный
today's,сегодняшний(отtoday)
toddle,ковыляние/прогуливаться
toe,палец
toes,Пальцыноги(носки)
toffee,ириска
together,вместе/одновременно
toil,трудиться/(тяжелый)труд
toilet,туалет
token,признак/примета
told,рассказал/сообщил(отtell)
tolerable,сносный/допустимый
tolerant,терпимый(неbearable)
tolerate,терпеть
tomato,томат/помидор
tomatoes,помидоры(отtomato)
tomb,могила/гробница
tome,Том
tommy,Томми
tomorrow,завтра/назавтра
ton,тонна
tone,стиль/характер
tones,Тоны
tongs,щипцы/клещи
tongue,язык
tonight,сегоднявечером
too,слишком/тоже
took,брал(отtake)
tool,инструмент
tools,инструменты!
tooth,зуб
toothache,зубнаяболь
top,верх/верхушка
topic,тема
topmost,самыйверхний/самыйважный
topple,валиться
torch,факел
torches,фонарики!
tore,рвал!
torn,оборванный(неworn)!
torrent,поток
tortoise,черепаха
torture,пытать/пытка(неattempt)
toss,толчок/сотрясение/кидать/бросать
total,сумма/весь/полныйt-
totally,полностью
touch,соприкосновение/контакт
touching,трогательный-ing
tough,жесткий
tour,путешествие/тур(неtrip)
tourist,турист(ский)
